Day,DoWeek,hour,count,passed,period,data,ServiceID_0,ServiceID_1,ServiceID_3,ServiceID_4,ServiceID_5,ServiceID_6,ServiceID_7,ServiceID_8,ServiceID_9,ServiceID_10,ServiceID_11
2021-12-30,3,2,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2021-12-31,4,14,3713,3712,63.0,611.0597899272825,0,0,0,0,0,0,1,0,0,0,0
2021-12-31,4,17,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-02,6,9,1510,1509,63.0,599.9860927152317,0,0,0,0,0,0,1,0,0,0,0
2022-01-04,1,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-04,1,13,5,4,63.0,1940.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,1,14,8,7,63.0,2010.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,1,15,5,3,63.0,1575.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,1,15,1,0,63.0,554.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,1,16,5274,5247,63.0,609.8991277967388,0,0,0,0,0,0,1,0,0,0,0
2022-01-04,1,16,2,1,63.0,1393.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,1,17,2,1,63.0,1468.5,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,4,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-05,2,9,3837,3832,63.0,608.5577273911911,0,0,0,0,0,0,1,0,0,0,0
2022-01-05,2,10,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-05,2,11,3,1,63.0,1158.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,12,1,0,63.0,554.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,14,3,2,63.0,1270.3333333333333,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,15,3,2,63.0,940.3333333333334,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,16,2,1,63.0,695.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,17,2157,2156,63.0,600.9619842373667,0,0,0,0,0,0,1,0,0,0,0
2022-01-05,2,17,3,2,63.0,1628.6666666666667,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2,18,3680,3679,63.0,600.241304347826,0,0,0,0,0,0,1,0,0,0,0
2022-01-05,2,18,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-06,3,11,3,2,63.0,1647.3333333333333,1,0,0,0,0,0,0,0,0,0,0
2022-01-06,3,12,1,0,63.0,554.0,1,0,0,0,0,0,0,0,0,0,0
2022-01-06,3,15,4,2,63.0,1309.75,1,0,0,0,0,0,0,0,0,0,0
